18893,4175358410,1
18894,3277388443,3
18895,1916819188,15
18896,522723090,23
18897,3363557009,31
18898,1291874036,37
18899,3019349598,44
18900,2614580217,51
18901,3582106724,60
18902,3522622350,3
18903,3129082031,9
18904,2965529185,15
18905,3141760369,22
18906,1866579802,25
18907,919021928,28
18908,3168373631,30
18909,4243001914,32
18910,2438117642,39
18911,3450868677,42
18912,2078397189,58
18913,3250165587,62
18914,3573269133,5
18915,3318879984,21
18916,2618103022,31
18917,3715208554,37
18918,867437114,42
18919,3282042014,47
18920,3261393148,62
18921,1563490282,7
18922,1162333450,11
18923,2370411738,22
18924,3522237425,32
18925,342736836,35
18926,2879278145,4
18927,4010738702,24
18928,2258254202,41
18929,3143794236,51
18930,1670230780,15
18931,2077262882,22
18932,3589410922,2
18933,3388878126,12
18934,1976305073,37
18935,4053650589,39
18936,1249349044,57
18937,244805540,15
18938,2029543346,18
18939,2712961697,28
18940,1071360814,34
18941,625443697,42
18942,3840679515,45
18943,3683436819,3
18944,2681276558,11
18945,277162215,16
18946,3183234121,27
18947,2964229236,34
18948,1513345195,37
18949,3719465602,43
18950,4176474267,51
18951,171117646,61
18952,2904603799,12
18953,697056532,24
18954,2793344853,33
18955,1182287062,41
18956,2413615692,51
18957,1864150475,58
18958,3890219738,2
18959,2445018799,9
18960,3632707526,18
18961,3251684299,28
18962,2845108747,33
18963,3217675147,38
18964,3870081252,50
18965,3257872643,52
18966,3112648654,1
18967,3909759766,18
18968,3840766130,41
27894,2602884560,2
27895,4066740225,13
27896,1238465639,19
27897,3375160630,24
27898,4208846453,36
27899,101323408,43
27900,2760304934,47
27901,3493213435,55
27902,2080114811,2
27903,4210227299,7
27904,203821700,14
27905,3142891704,19
27906,2739450868,23
27907,2108294218,26
27908,3422187911,29
27909,104666724,31
27910,2623327698,38
27911,3692192555,40
27912,3332593713,44
27913,1690169960,60
27914,394688987,4
27915,2777150820,17
27916,835465255,27
27917,165005164,32
27918,3915769638,38
27919,403820963,46
27920,3252936295,59
27921,2138157960,1
27922,2209810509,10
27923,2561274178,14
